timeseries,supervised,analysis_tag,clf_name,tp,fp,fn,tn,mcc,acc,recall,test_time,test_time_per_item,dd_min,dd_max,dd_avg,fpr_min,fpr_max,fpr_avg,tpr_min,tpr_max,tpr_avg
False,True,test,LinearDiscriminantAnalysis,70,19,529,2382,0.25669234153332676,0.5544740331484029,0.11686143572621036,1,0.0003333333333333333,37,37,37.0,0.007913369429404415,0.007913369429404415,0.007913369429404415,1,1,1.0
False,True,test,RandomForestClassifier,237,282,362,2119,0.2940238922610203,0.6391041851649181,0.39565943238731216,4,0.0013333333333333333,17,17,17.0,0.11745106205747605,0.11745106205747605,0.11745106205747605,1,1,1.0
False,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(ExtraTreeClassifier-20-0.8-None-3.0-0.7-None-1.0-20)),258,436,341,1965,0.2361677856487823,0.6245634296783685,0.4307178631051753,44,0.014666666666666666,14,14,14.0,0.18159100374843815,0.18159100374843815,0.18159100374843815,1,1,1.0
False,True,test,XGBClassifier,333,799,266,1602,0.18403137966074729,0.6115742675387759,0.5559265442404007,4,0.0013333333333333333,16,16,16.0,0.33277800916284883,0.33277800916284883,0.33277800916284883,1,1,1.0
False,True,test,DecisionTreeClassifier,1891,1419,2245,18445,0.4225294658138671,0.6928846329119249,0.45720502901353965,4,0.00016666666666666666,0,100,16.857142857142858,0.028498355864084765,0.17441193344807804,0.07778418046323086,0,1,0.875
False,True,test,GaussianNB,1705,1172,2431,18692,0.41071158568811117,0.6766164171686618,0.4122340425531915,7,0.0002916666666666667,0,412,82.4,0.0,0.23235800344234078,0.07008965321815055,0,1,0.625
False,True,test,LinearDiscriminantAnalysis,292,3,3844,19861,0.24147096193405476,0.5352242930846585,0.07059961315280464,1,4.1666666666666665e-05,0,460,247.75,0.0,0.0017211703958691911,0.0002151462994836489,0,1,0.5
False,True,test,RandomForestClassifier,1516,663,2620,19201,0.43793687513090634,0.6665803771253811,0.3665377176015474,34,0.0014166666666666668,0,128,20.5,0.006211180124223602,0.13654618473895583,0.03869801856496361,1,1,1.0
False,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(ExtraTreeClassifier-20-0.8-None-3.0-0.7-None-1.0-20)),816,410,3320,19454,0.30302369089812414,0.5883258576112537,0.19729206963249515,210,0.00875,0,105,24.571428571428573,0.0034129692832764505,0.08204245553643144,0.023853519645634688,0,1,0.875
False,True,test,XGBClassifier,1835,811,2301,19053,0.4857571927588629,0.7014188746532514,0.44366537717601545,25,0.0010416666666666667,0,123,19.571428571428573,0.007390120575651498,0.16523235800344235,0.04727026444842941,0,1,0.875
