CHECKSUM,COUNTER,Steer_Torque_Sensor,Steering_Angle,Steer_Torque_Output,wordcount,Steer_Warning,[PRED]DecisionTreeClassifier,[PRED]GaussianNB
77.0,0.0,80.0,8.68,250.0,106,0.0,1.0,0.0
81.0,1.0,78.0,8.68,240.0,82,0.0,0.0,0.0
84.0,2.0,76.0,8.68,240.0,106,0.0,1.0,0.0
95.0,3.0,73.0,8.68,170.0,100,0.0,1.0,0.0
103.0,4.0,70.0,8.68,130.0,97,0.0,1.0,0.0
111.0,5.0,68.0,8.6583,90.0,106,0.0,0.0,0.0
123.0,6.0,66.0,8.6149,20.0,88,0.0,0.0,0.0
125.0,7.0,66.0,8.5281,-20.0,109,0.0,0.0,0.0
131.0,8.0,66.0,8.4196,-20.0,103,0.0,0.0,0.0
138.0,9.0,65.0,8.3111,-20.0,94,0.0,0.0,0.0
157.0,10.0,58.0,8.1592,-60.0,67,0.0,0.0,0.0
171.0,11.0,49.0,8.0724,-60.0,97,0.0,0.0,0.0
183.0,12.0,47.0,7.9205,-80.0,115,0.0,0.0,0.0
187.0,13.0,48.0,7.7903,-60.0,70,0.0,0.0,0.0
196.0,14.0,48.0,7.6818,-90.0,106,0.0,0.0,0.0
205.0,15.0,43.0,7.6167,-90.0,100,0.0,0.0,0.0
190.0,0.0,40.0,7.5516,-30.0,97,0.0,0.0,0.0
199.0,1.0,38.0,7.4648,-50.0,124,0.0,1.0,0.0
205.0,2.0,37.0,7.4431,-80.0,103,0.0,1.0,0.0
202.0,3.0,41.0,7.3997,-60.0,97,0.0,0.0,0.0
205.0,4.0,43.0,7.3563,-80.0,79,0.0,1.0,0.0
217.0,5.0,43.0,7.2478,-140.0,97,0.0,0.0,0.0
226.0,6.0,43.0,7.0525,-130.0,103,0.0,0.0,0.0
244.0,7.0,40.0,6.7487,-130.0,109,0.0,0.0,0.0
19.0,8.0,40.0,6.2279,-190.0,109,0.0,0.0,0.0
46.0,9.0,43.0,5.4901,-130.0,103,0.0,0.0,0.0
100.0,10.0,37.0,4.6438,-210.0,97,0.0,0.0,0.0
162.0,11.0,20.0,3.7758,-250.0,106,0.0,0.0,0.0
211.0,12.0,11.0,2.8427,-210.0,70,0.0,0.0,0.0
4.0,13.0,4.0,1.953,-210.0,103,0.0,0.0,0.0
41.0,14.0,-7.0,1.302,-230.0,109,0.0,0.0,0.0
74.0,15.0,-21.0,0.868,-210.0,94,0.0,0.0,0.0
70.0,0.0,-31.0,0.7595000000000001,-170.0,115,0.0,0.0,0.0
46.0,1.0,-20.0,0.7812,-40.0,112,0.0,0.0,0.0
25.0,2.0,-5.0,0.9114,40.0,106,0.0,1.0,0.0
12.0,3.0,-1.0,1.0199,90.0,94,0.0,1.0,0.0
23.0,4.0,-7.0,1.0199,50.0,88,0.0,1.0,0.0
45.0,5.0,-26.0,0.9982,-30.0,106,0.0,0.0,0.0
77.0,6.0,-45.0,0.9331,-120.0,97,0.0,1.0,0.0
86.0,7.0,-49.0,0.8246,-110.0,106,0.0,1.0,0.0
90.0,8.0,-45.0,0.7378,-140.0,97,0.0,1.0,0.0
98.0,9.0,-46.0,0.6944,-180.0,97,0.0,1.0,0.0
99.0,10.0,-44.0,0.651,-180.0,109,0.0,1.0,0.0
98.0,11.0,-36.0,0.5208,-180.0,118,0.0,0.0,0.0
